Epoch [1580/5000], Loss: 0.3344
Epoch [1590/5000], Loss: 0.3280
Epoch [1600/5000], Loss: 0.3283
Epoch [1610/5000], Loss: 0.3325
Epoch [1620/5000], Loss: 0.3305
Epoch [1630/5000], Loss: 0.3342
Epoch [1640/5000], Loss: 0.3279
Epoch [1650/5000], Loss: 0.3254
Epoch [1660/5000], Loss: 0.3311
Epoch [1670/5000], Loss: 0.3279
Epoch [1680/5000], Loss: 0.3288
Epoch [1690/5000], Loss: 0.3260
Epoch [1700/5000], Loss: 0.3326
Epoch [1710/5000], Loss: 0.3366
Epoch [1720/5000], Loss: 0.3249
Epoch [1730/5000], Loss: 0.3259
Epoch [1740/5000], Loss: 0.3250
Epoch [1750/5000], Loss: 0.3400
Epoch [1760/5000], Loss: 0.3304
Epoch [1770/5000], Loss: 0.3279
Epoch [1780/5000], Loss: 0.3264
Epoch [1790/5000], Loss: 0.3292
Epoch [1800/5000], Loss: 0.3296
Epoch [1810/5000], Loss: 0.3268
Epoch [1820/5000], Loss: 0.3272
Epoch [1830/5000], Loss: 0.3230
Epoch [1840/5000], Loss: 0.3231
Epoch [1850/5000], Loss: 0.3265
Epoch [1860/5000], Loss: 0.3152
Epoch [1870/5000], Loss: 0.3207
Epoch [1880/5000], Loss: 0.3212
Epoch [1890/5000], Loss: 0.3240
Epoch [1900/5000], Loss: 0.3258
Epoch [1910/5000], Loss: 0.3234
Epoch [1920/5000], Loss: 0.3262
Epoch [1930/5000], Loss: 0.3219
Epoch [1940/5000], Loss: 0.3234
Epoch [1950/5000], Loss: 0.3281
Epoch [1960/5000], Loss: 0.3251
Epoch [1970/5000], Loss: 0.3159
Epoch [1980/5000], Loss: 0.3266
Epoch [1990/5000], Loss: 0.3171
Epoch [2000/5000], Loss: 0.3251
Epoch [2010/5000], Loss: 0.3184
Epoch [2020/5000], Loss: 0.3192
Epoch [2030/5000], Loss: 0.3241
Epoch [2040/5000], Loss: 0.3234
Epoch [2050/5000], Loss: 0.3196
Epoch [2060/5000], Loss: 0.3164
Epoch [2070/5000], Loss: 0.3206
Epoch [2080/5000], Loss: 0.3220
Epoch [2090/5000], Loss: 0.3189
Epoch [2100/5000], Loss: 0.3198
Epoch [2110/5000], Loss: 0.3183
Epoch [2120/5000], Loss: 0.3227
Epoch [2130/5000], Loss: 0.3248
Epoch [2140/5000], Loss: 0.3168
Epoch [2150/5000], Loss: 0.3214
Epoch [2160/5000], Loss: 0.3224
Epoch [2170/5000], Loss: 0.3182
Epoch [2180/5000], Loss: 0.3096
Epoch [2190/5000], Loss: 0.3117
Epoch [2200/5000], Loss: 0.3148
Epoch [2210/5000], Loss: 0.3185
Epoch [2220/5000], Loss: 0.3158
Epoch [2230/5000], Loss: 0.3201
Epoch [2240/5000], Loss: 0.3115
Epoch [2250/5000], Loss: 0.3084
Epoch [2260/5000], Loss: 0.3202
Epoch [2270/5000], Loss: 0.3150
Epoch [2280/5000], Loss: 0.3234
Epoch [2290/5000], Loss: 0.3102
Epoch [2300/5000], Loss: 0.3205
Epoch [2310/5000], Loss: 0.3148
Epoch [2320/5000], Loss: 0.3154
Epoch [2330/5000], Loss: 0.3149
Epoch [2340/5000], Loss: 0.3173
Epoch [2350/5000], Loss: 0.3230
Epoch [2360/5000], Loss: 0.3118
Epoch [2370/5000], Loss: 0.3121
Epoch [2380/5000], Loss: 0.3109
Epoch [2390/5000], Loss: 0.3129
Epoch [2400/5000], Loss: 0.3158
Epoch [2410/5000], Loss: 0.3165
Epoch [2420/5000], Loss: 0.3255
Epoch [2430/5000], Loss: 0.3208
Epoch [2440/5000], Loss: 0.3102
Epoch [2450/5000], Loss: 0.3124
Epoch [2460/5000], Loss: 0.3112
Epoch [2470/5000], Loss: 0.3116
Epoch [2480/5000], Loss: 0.3162
Epoch [2490/5000], Loss: 0.3183
Epoch [2500/5000], Loss: 0.3206
Epoch [2510/5000], Loss: 0.3141
Epoch [2520/5000], Loss: 0.3079
Epoch [2530/5000], Loss: 0.3156
Epoch [2540/5000], Loss: 0.3134
Epoch [2550/5000], Loss: 0.3173
Epoch [2560/5000], Loss: 0.3101
Epoch [2570/5000], Loss: 0.3094
Epoch [2580/5000], Loss: 0.3092
Epoch [2590/5000], Loss: 0.3097
Epoch [2600/5000], Loss: 0.3123
Epoch [2610/5000], Loss: 0.3145
Epoch [2620/5000], Loss: 0.3066
Epoch [2630/5000], Loss: 0.3090
Epoch [2640/5000], Loss: 0.3089
Epoch [2650/5000], Loss: 0.3145
Epoch [2660/5000], Loss: 0.3123
Epoch [2670/5000], Loss: 0.3161
Epoch [2680/5000], Loss: 0.3142
Epoch [2690/5000], Loss: 0.3085
Epoch [2700/5000], Loss: 0.3044
Epoch [2710/5000], Loss: 0.3064
Epoch [2720/5000], Loss: 0.3123
Epoch [2730/5000], Loss: 0.3044
Epoch [2740/5000], Loss: 0.3159
Epoch [2750/5000], Loss: 0.3059
Epoch [2760/5000], Loss: 0.3052
Epoch [2770/5000], Loss: 0.3092
Epoch [2780/5000], Loss: 0.3061
Epoch [2790/5000], Loss: 0.3027
Epoch [2800/5000], Loss: 0.3083
Epoch [2810/5000], Loss: 0.3089
Epoch [2820/5000], Loss: 0.3091
Epoch [2830/5000], Loss: 0.3088
Epoch [2840/5000], Loss: 0.3049
Epoch [2850/5000], Loss: 0.3090
Epoch [2860/5000], Loss: 0.3064
Epoch [2870/5000], Loss: 0.3059
Epoch [2880/5000], Loss: 0.3075
Epoch [2890/5000], Loss: 0.3129
Epoch [2900/5000], Loss: 0.2991
Epoch [2910/5000], Loss: 0.3104
Epoch [2920/5000], Loss: 0.3060
Epoch [2930/5000], Loss: 0.3077
Epoch [2940/5000], Loss: 0.3148
Epoch [2950/5000], Loss: 0.2990
Epoch [2960/5000], Loss: 0.3028
Epoch [2970/5000], Loss: 0.3099
Epoch [2980/5000], Loss: 0.3071
Epoch [2990/5000], Loss: 0.3090
Epoch [3000/5000], Loss: 0.3036
Epoch [3010/5000], Loss: 0.3046
Epoch [3020/5000], Loss: 0.3124
Epoch [3030/5000], Loss: 0.3057
Epoch [3040/5000], Loss: 0.3070
Epoch [3050/5000], Loss: 0.3070
Epoch [3060/5000], Loss: 0.3052
Epoch [3070/5000], Loss: 0.3124
Epoch [3080/5000], Loss: 0.3052
Epoch [3090/5000], Loss: 0.3047
Epoch [3100/5000], Loss: 0.3087
Epoch [3110/5000], Loss: 0.2963
Epoch [3120/5000], Loss: 0.3034
Epoch [3130/5000], Loss: 0.3034
Epoch [3140/5000], Loss: 0.3064
Epoch [3150/5000], Loss: 0.3101
Epoch [3160/5000], Loss: 0.3072
Epoch [3170/5000], Loss: 0.3076
Epoch [3180/5000], Loss: 0.3011
Epoch [3190/5000], Loss: 0.3026
Epoch [3200/5000], Loss: 0.3039
Epoch [3210/5000], Loss: 0.3013
Epoch [3220/5000], Loss: 0.3004
Epoch [3230/5000], Loss: 0.3002
Epoch [3240/5000], Loss: 0.3023
Epoch [3250/5000], Loss: 0.3057
Epoch [3260/5000], Loss: 0.3034
Epoch [3270/5000], Loss: 0.2985
Epoch [3280/5000], Loss: 0.3126
Epoch [3290/5000], Loss: 0.3091
Epoch [3300/5000], Loss: 0.2984
Epoch [3310/5000], Loss: 0.3064
Epoch [3320/5000], Loss: 0.3024
Epoch [3330/5000], Loss: 0.3029
Epoch [3340/5000], Loss: 0.3020
Epoch [3350/5000], Loss: 0.3016
Epoch [3360/5000], Loss: 0.3023
Epoch [3370/5000], Loss: 0.3020
Epoch [3380/5000], Loss: 0.3054
Epoch [3390/5000], Loss: 0.3047
Epoch [3400/5000], Loss: 0.3021
Epoch [3410/5000], Loss: 0.2946
Epoch [3420/5000], Loss: 0.3003
Epoch [3430/5000], Loss: 0.3003
Epoch [3440/5000], Loss: 0.3062
Epoch [3450/5000], Loss: 0.3032
Epoch [3460/5000], Loss: 0.2998
Epoch [3470/5000], Loss: 0.3018
Epoch [3480/5000], Loss: 0.2972
Epoch [3490/5000], Loss: 0.3041
Epoch [3500/5000], Loss: 0.2953
Epoch [3510/5000], Loss: 0.2975
Epoch [3520/5000], Loss: 0.2944
Epoch [3530/5000], Loss: 0.3047
Epoch [3540/5000], Loss: 0.3005
Epoch [3550/5000], Loss: 0.2978
Epoch [3560/5000], Loss: 0.2958
Epoch [3570/5000], Loss: 0.2956
Epoch [3580/5000], Loss: 0.2956
Epoch [3590/5000], Loss: 0.2990
Epoch [3600/5000], Loss: 0.2953
Epoch [3610/5000], Loss: 0.3060
Epoch [3620/5000], Loss: 0.2997
Epoch [3630/5000], Loss: 0.3020
Epoch [3640/5000], Loss: 0.2983
Epoch [3650/5000], Loss: 0.3036
Epoch [3660/5000], Loss: 0.3022
Epoch [3670/5000], Loss: 0.2929
Epoch [3680/5000], Loss: 0.3024
Epoch [3690/5000], Loss: 0.2956
Epoch [3700/5000], Loss: 0.2927
Epoch [3710/5000], Loss: 0.3015
Epoch [3720/5000], Loss: 0.2970
Epoch [3730/5000], Loss: 0.2983
Epoch [3740/5000], Loss: 0.2914
Epoch [3750/5000], Loss: 0.2984
Epoch [3760/5000], Loss: 0.2942
Epoch [3770/5000], Loss: 0.2970
Epoch [3780/5000], Loss: 0.2935
Epoch [3790/5000], Loss: 0.2979
Epoch [3800/5000], Loss: 0.2942
Epoch [3810/5000], Loss: 0.3034
Epoch [3820/5000], Loss: 0.3029
